event_id,team_id,team,ha,opponent,opp_id,team_score,opp_score,team_pen,team_pen_yds,opp_pen,opp_pen_yds,margin,one_score,line_details,spread,over_under,our_ml,opp_ml
401110773,333,Alabama,home,NMSU,166,62,10,4,35,1,15,52,False,ALA -55.5,-55.5,64.5,,
401110794,333,Alabama,away,SC,2579,47,23,11,92,5,32,24,False,ALA -26.5,26.5,59.5,-3350,1300
401110797,333,Alabama,home,USM,2572,49,7,1,15,6,55,42,False,ALA -38,-38.0,63.5,,
401110806,333,Alabama,home,MISS,145,59,31,10,76,9,97,28,False,ALA -38,-38.0,63.0,,
401110822,333,Alabama,away,TA&M,245,47,28,11,91,5,55,19,False,ALA -17,17.0,61.5,-950,600
401110824,333,Alabama,home,TENN,2633,35,13,8,93,13,93,22,False,ALA -35,-35.0,62.0,,
401110831,333,Alabama,home,ARK,8,48,7,6,60,0,0,41,False,ALA -32,-32.0,55.5,-14724,2650
401110842,333,Alabama,home,LSU,99,41,46,7,53,4,35,-5,True,ALA -6,-6.0,65.5,-220,177
401110851,333,Alabama,away,MSST,344,38,7,7,86,5,37,31,False,ALA -19,19.0,61.0,-1316,750
401110855,333,Alabama,home,WCU,2717,66,3,4,45,3,36,63,False,ALA -58.5,-58.5,61.5,,
401110865,333,Alabama,away,AUB,2,45,48,13,96,9,60,-3,True,ALA -3.5,3.5,51.0,-182,149
401236951,333,Alabama,away,MIZ,142,38,19,7,49,3,20,19,False,ALA -28.5,28.5,55.5,-4947,1550
401237093,333,Alabama,home,TA&M,245,52,24,6,40,7,58,28,False,ALA -18,-18.0,53.5,-1102,674
401237100,333,Alabama,away,MISS,145,63,48,8,76,6,67,15,False,ALA -24,24.0,74.0,-1804,929
401237107,333,Alabama,home,UGA,61,41,24,6,43,6,52,17,False,ALA -6,-6.0,57.0,-225,177
401237107,61,Georgia,away,ALA,333,24,41,6,52,6,43,-17,False,ALA -6,-6.0,57.0,177,-225
401237114,333,Alabama,away,TENN,2633,48,17,7,45,8,33,31,False,ALA -21.5,21.5,66.5,-1797,852
401237119,333,Alabama,home,MSST,344,41,0,10,71,9,85,41,False,ALA -29.5,-29.5,63.5,-5989,1520
401237135,333,Alabama,home,UK,96,63,3,4,30,7,69,60,False,ALA -31.5,-31.5,57.5,-8289,1789
401237142,333,Alabama,home,AUB,2,42,13,4,30,5,38,29,False,ALA -24.5,-24.5,64.5,-2053,1005
401265817,333,Alabama,away,LSU,99,55,17,4,43,4,30,38,False,ALA -28.5,28.5,64.0,-4357,1500
401267164,333,Alabama,away,ARK,8,52,3,2,23,8,36,49,False,ALA -30,30.0,69.5,-6936,1592
401237074,333,Alabama,away,FLA,57,52,46,8,72,6,50,6,True,ALA -16,16.0,74.0,-829,553
401240152,333,Alabama,home,ND,87,31,14,6,59,3,25,17,False,ALA -19.5,-19.5,65.5,-1203,681
401240152,87,Notre Dame,away,ALA,333,14,31,3,25,6,59,-17,False,ALA -19.5,-19.5,65.5,681,-1203
401281942,333,Alabama,away,MIA,2390,44,13,8,81,7,75,31,False,ALA -19.5,19.5,61.5,-1253,741
401282056,333,Alabama,home,MER,2382,48,14,9,95,7,54,34,False,,,,,
401282071,333,Alabama,away,FLA,57,31,29,11,75,7,67,2,True,ALA -14,14.0,60.0,-660,454
401282081,333,Alabama,home,USM,2572,63,14,7,62,5,36,49,False,ALA -45,-45.0,58.5,,
401282089,333,Alabama,home,MISS,145,42,21,5,52,7,55,21,False,ALA -15,-15.0,79.5,-698,485
