event_id,season,team,ha,margin,one_score,our_score,opp_score,off3conv,off3att,def3conv,def3att,sacks_taken,sacks_forced,spread,line_details,comp_att
401234632,2020,Clemson,away,-7,True,40,47,4,15,10,19,2,2,5.0,CLEM -5,29/44
401234644,2020,Clemson,away,0,True,0,0,,,,,0,0,35.5,CLEM -35.5,
401234651,2020,Clemson,home,35,False,52,17,7,18,4,17,3,6,-24.0,CLEM -24,35/52
401234657,2020,Clemson,away,35,False,45,10,3,9,4,11,0,2,23.0,CLEM -23,12/22
401256001,2020,Clemson,away,24,False,34,10,8,14,3,12,2,6,11.0,CLEM -11,25/39
401282615,2021,Clemson,home,46,False,49,3,8,13,2,16,0,1,-50.5,CLEM -50.5,23/39
401282627,2021,Clemson,home,6,True,14,8,9,15,3,15,0,4,-27.5,CLEM -27.5,18/25
401282643,2021,Clemson,away,-6,True,21,27,2,11,11,21,2,3,10.5,CLEM -10.5,12/26
401282647,2021,Clemson,home,6,True,19,13,3,14,5,15,1,4,-14.5,CLEM -14.5,13/28
401282657,2021,Clemson,away,3,True,17,14,5,15,5,15,2,2,13.5,CLEM -13.5,22/36
401282666,2021,Clemson,away,-10,False,17,27,4,11,10,19,1,2,-3.5,PITT -3.5,15/32
401282670,2021,Clemson,home,10,False,30,20,4,14,4,13,2,6,-9.5,CLEM -9.5,19/31
401282680,2021,Clemson,away,6,True,30,24,5,14,6,17,3,3,3.5,CLEM -3.5,18/31
401282684,2021,Clemson,home,37,False,44,7,5,22,0,14,0,6,-40.5,CLEM -40.5,27/57
401282693,2021,Clemson,home,21,False,48,27,7,11,8,17,0,7,-3.5,CLEM -3.5,12/20
401282152,2021,Clemson,away,30,False,30,0,3,12,4,16,0,1,11.5,CLEM -11.5,9/19
401331227,2021,Clemson,away,7,True,20,13,9,18,6,15,1,1,2.0,CLEM -2,21/33
401411101,2022,Clemson,away,31,False,41,10,7,16,2,16,3,2,24.5,CLEM -24.5,23/38
401411102,2022,Clemson,home,23,False,35,12,5,10,10,18,1,2,-45.5,CLEM -45.5,22/31
401426556,2022,Clemson,home,28,False,48,20,7,15,5,15,1,1,-33.5,CLEM -33.5,20/35
401411123,2022,Clemson,away,6,True,51,45,16,23,5,12,1,3,7.5,CLEM -7.5,26/41
401411125,2022,Clemson,home,10,False,30,20,6,14,5,14,0,3,-6.5,CLEM -6.5,21/30
401411131,2022,Clemson,away,28,False,31,3,5,14,5,18,2,4,21.0,CLEM -21,18/32
401411138,2022,Clemson,away,6,True,34,28,9,17,7,13,3,2,4.5,CLEM -4.5,15/23
401411142,2022,Clemson,home,6,True,27,21,5,15,3,11,2,5,-14.0,CLEM -14,15/25
401404130,2022,Clemson,away,-21,False,14,35,4,11,6,12,4,1,3.5,CLEM -3.5,27/40
401411158,2022,Clemson,home,15,False,31,16,4,13,3,14,2,4,-7.0,CLEM -7,20/28
401411165,2022,Clemson,home,30,False,40,10,14,19,3,11,3,5,-19.0,CLEM -19,25/37
401403962,2022,Clemson,home,-1,True,30,31,7,16,3,13,1,2,-14.0,CLEM -14,8/29
401437009,2022,Clemson,away,29,False,39,10,5,10,9,16,0,4,7.5,CLEM -7.5,28/35
401442019,2022,Clemson,home,-17,False,14,31,7,19,3,13,4,4,-4.5,CLEM -4.5,30/56
401525468,2023,Clemson,away,-21,False,7,28,7,15,5,15,2,0,12.5,CLEM -12.5,27/43
401525491,2023,Clemson,home,49,False,66,17,6,12,3,14,0,2,,,36/45
401525501,2023,Clemson,home,34,False,48,14,6,12,6,18,0,2,,,20/33
401525507,2023,Clemson,home,-7,True,24,31,6,14,4,13,2,2,,,25/38
401525514,2023,Clemson,away,17,False,31,14,7,16,9,17,3,5,,,23/37
401525517,2023,Clemson,home,5,True,17,12,6,15,2,12,0,4,,,18/28
401525529,2023,Clemson,away,-8,True,20,28,4,14,9,18,4,0,,,18/34
401525534,2023,Clemson,away,-7,True,17,24,7,18,3,13,1,3,,,33/51
401525441,2023,Clemson,home,8,True,31,23,5,15,3,13,1,2,,,13/26
401525548,2023,Clemson,home,21,False,42,21,7,16,6,16,2,4,,,23/37
401525554,2023,Clemson,home,11,False,31,20,6,19,4,14,0,3,,,21/34
401520441,2023,Clemson,away,9,False,16,7,7,16,2,13,1,2,,,15/27
401551766,2023,Clemson,away,3,True,38,35,5,16,4,11,9,2,,,30/41
401635532,2024,Clemson,home,46,False,66,20,6,12,4,13,0,1,,,32/39
401635552,2024,Clemson,home,24,False,59,35,3,10,2,10,1,2,,,21/34
401635561,2024,Clemson,home,26,False,40,14,5,12,7,17,1,4,,,15/31
401635569,2024,Clemson,away,16,False,29,13,6,15,4,16,1,2,,,19/34
401635576,2024,Clemson,away,35,False,49,14,7,11,3,11,1,3,,,33/44
401635588,2024,Clemson,home,17,False,48,31,9,15,5,13,0,4,,,25/37
401635600,2024,Clemson,home,-12,False,21,33,11,23,4,12,2,0,,,33/56
401635607,2024,Clemson,away,10,False,24,14,9,19,2,14,2,1,,,16/34
401635582,2024,Clemson,away,4,True,24,20,5,15,6,18,5,8,,,27/43
401635614,2024,Clemson,home,37,False,51,14,5,9,8,18,1,2,,,18/31
401628444,2024,Clemson,home,-3,True,14,17,7,15,7,13,1,3,,,24/37
401673463,2024,Clemson,away,3,True,34,31,7,17,9,18,3,2,,,24/41
401677176,2024,Clemson,away,-14,False,24,38,3,12,6,12,3,2,,,26/43
401752671,2025,Clemson,home,-7,True,10,17,3,13,4,11,2,1,,,19/38
401754637,2025,Clemson,home,11,False,27,16,5,12,5,13,1,4,,,18/24
